Gaia | Gaian Federation | N/A | The homeworld of humanity.
Sirius | Gaian Federation | 2126 | 
Toliman | Gaian Federation | 2110 | 
Outania | Gaian Federation |  | 
B-ABB | Gaian Federation |  | 
Dagon | Gaian Federation |  | 
Eteron | Gaian Federation | N/A | 
Thafelia | Gaian Federation |  | 
Veblion | Gaian Federation |  | 
Gyke | Gaian Federation |  | 
Oslisis | Gaian Federation |  | 
Elexina | Gaian Federation | N/A | 
GAL-2955 | Gaian Federation |  | 
Tiotania | Gaian Federation |  | 
TW-2901 | Gaian Federation |  | 
Gechadus | Gaian Federation |  | 
Mirfak | Gaian Federation |  | 
Ollion | Gaian Federation |  | 
Moktar | Gaian Federation |  | 
Ghunn | Gaian Federation |  | 
Ritan | Gaian Federation/(Gadoran Empire) | 2122 | 
Constan | Gaian Federation | 2119 | 
Polisha | Gaian Federation/Saberian Union | 2119 | After Gaia discovered hyperdrive technology in 2109 and made first contact with the Saberian Union in 2112, they raced to find a hyperspace route to Saber. After seven years, they finally met up with a Saberian exploration fleet in the Polisha system in 2119. This system was later decided to determine the border between the Gaian Federation and the Saberian Union.
Lephang | Gaian Federation | 2120 | 

Alakar | Gadoran Empire | 1848 | 

Vega | Neutral | N/A | 

ESK-1035 | Neutral | N/A | 
B-PQN | Neutral | N/A | 
Eorta | Neutral | N/A | 
Eblonii | Neutral | N/A | 

V-1541 | Crozonian Alliance |  | 
Crozon | Crozonian Alliance | N/A | 
Aldor | Republic of Aldor |  | 

Igh'ra | Vaarian Empire |  | 
Vaaria | Vaarian Empire | N/A | 
Zon'ra | Vaarian Empire |  | 
Saa'ra | Vaarian Empire |  | 

- | Saberian Union |  | 
Callia | Saberian Union |  | 
Saber | Saberian Union | N/A | 

Cristallia | The Remnant | N/A | 

Kraxon | Kraxonian Empire | N/A | 

W1 | Kraxonian Empire |  | 

T2 | Kraxonian Empire |  | 
T3 | Kraxonian Empire |  | 
T6 | Kraxonian Empire |  | 
T7 | Kraxonian Empire |  | 
T16 | Kraxonian Empire |  | 
T17 | Kraxonian Empire |  | 
T21 | Kraxonian Empire |  | 
T22 | Kraxonian Empire |  | 
T25 | Kraxonian Empire |  | 
T26 | Kraxonian Empire |  | 
T27 | Kraxonian Empire |  | 
T29 | Kraxonian Empire |  | 
T30 | Kraxonian Empire |  | 
T33 | Kraxonian Empire |  | 

B-Alpha | Kraxonian Empire | |  
B20 | Kraxonian Empire |  | 
B31 | Kraxonian Empire |  | 
B32 | Kraxonian Empire |  | 

R7 | Kraxonian Empire |  | 

D1 | Kraxonian Empire |  | 
D2 | Kraxonian Empire |  | 
D3 | Kraxonian Empire |  | 
D4 | Kraxonian Empire |  | 
D5 | Kraxonian Empire |  | 
D6 | Kraxonian Empire |  | 
Balphaz | Kraxonian Empire |  | 

Borgana | Borganian Empire/(Republic) | N/A | 
